id,title,created_at,last_posted_at,views,like_count,category_id
3575,Official Clan List,2015-04-17T00:52:28.189Z,2020-06-06T13:45:06.847Z,24526,277,9
4392,[Guide] Using the Boss Star,2015-07-04T02:44:33.376Z,2020-05-19T15:49:28.272Z,10397,54,6
15521,[Essentials] How To Post/Format Your Code Correctly,2018-08-12T22:34:04.021Z,2020-04-04T07:09:35.544Z,3077,8,9
19964,2019 Year Review,2020-01-08T07:02:15.627Z,2020-01-08T07:04:04.048Z,615,5,25
18174,Frequently Asked Questions,2019-04-17T08:07:46.471Z,2019-04-17T08:07:46.580Z,2125,3,4
15601,Welcome to CodeCombat Discourse Forums!,2018-08-16T00:27:29.017Z,2018-08-16T00:27:29.113Z,8948,10,9
15820,Codecombat discord!,2018-09-01T06:58:50.597Z,2018-09-01T06:58:50.686Z,2442,6,9
22094,"Summit's Gate python, please help!",2020-06-08T03:30:11.984Z,2020-06-08T03:30:12.076Z,6,0,24
14506,Kelvintaph-burgler with a little help,2018-04-20T15:14:14.416Z,2020-06-07T21:46:18.632Z,326,10,24
7325,Multiplayer Treasure Grove (Python) - Im a little stuck,2016-04-26T01:44:00.480Z,2020-06-07T21:33:28.249Z,1738,0,24
19543,Help on kelvintalph burgler,2019-11-05T22:28:41.596Z,2020-06-07T21:19:54.833Z,108,0,9
22089,What is the hardest level?,2020-06-07T21:08:50.841Z,2020-06-07T21:18:54.900Z,26,0,28
22088,"-While, if loop-",2020-06-07T19:20:09.860Z,2020-06-07T20:35:16.355Z,34,0,24
19126,HELP Clash of clones!,2019-09-02T23:27:11.706Z,2020-06-07T20:32:49.007Z,955,1,24
22087,Help Skating Away Javascript,2020-06-07T18:43:20.754Z,2020-06-07T19:25:02.961Z,27,2,9
22078,Which hero is stronger?,2020-06-06T23:43:25.355Z,2020-06-07T19:17:11.298Z,105,2,9
10677,[SOLVED] Mind the trap. Help ME!,2017-02-22T15:39:26.070Z,2020-06-07T19:15:57.697Z,3143,18,24
22029,Help With Bank Raid,2020-06-04T17:00:43.496Z,2020-06-07T15:23:19.246Z,66,1,24
